"Viewer Version";"2.91"
"COM HW Type";"RS485/USB Sensor Cable"
"COM HW Config";"Config String: COM4 , 115200, ECHOOFF"
"Sensor Cable Version";"1.8"
"Product Type";"Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config";"SHDLC Device Address: 0"
"Product ID";"SLF3S-1300F"
"Sensor Serial";"1949-000064"
"I2C Address";"8"
"Supply Voltage";"3.5 V"
"Command Address";"0x3608"
"Sampling Time [ms]";"5"
"Scale Factor Flow lin.";"500"
"Scale Factor Temp lin.";"200"
"Scale Factor Custom";"1"
"Sample #";"Relative Time[s]";"Flow linearized [ml/min]";"Temperature linearized [deg C]";"Custom []"
"351052";"1 745,7365";"-0,002";"31,635";"0,000"
"351053";"1 745,7417";"-0,002";"31,665";"0,000"
"351054";"1 745,7470";"-0,002";"31,665";"0,000"
"351055";"1 745,7522";"-0,002";"31,600";"0,000"
"351056";"1 745,7574";"0,000";"31,600";"0,000"
"351057";"1 745,7627";"0,000";"31,600";"0,000"
"351058";"1 745,7679";"0,000";"31,660";"0,000"
"351059";"1 745,7719";"-0,002";"31,660";"0,000"
"351060";"1 745,7759";"-0,002";"31,600";"0,000"
"351061";"1 745,7799";"0,000";"31,600";"0,000"
"351062";"1 745,7839";"-0,002";"31,660";"0,000"
"351063";"1 745,7892";"0,000";"31,660";"0,000"
"351064";"1 745,7946";"0,002";"31,660";"0,000"
"351065";"1 745,7999";"0,000";"31,660";"0,000"
"351066";"1 745,8045";"0,000";"31,640";"0,000"
"351067";"1 745,8090";"0,000";"31,640";"0,000"
"351068";"1 745,8136";"0,002";"31,640";"0,000"
"351069";"1 745,8181";"0,002";"31,640";"0,000"
"351070";"1 745,8227";"0,002";"31,640";"0,000"
"351071";"1 745,8272";"0,002";"31,545";"0,000"
"351072";"1 745,8318";"0,002";"31,545";"0,000"
"351073";"1 745,8372";"0,002";"31,695";"0,000"
"351074";"1 745,8425";"0,004";"31,695";"0,000"
"351075";"1 745,8479";"0,004";"31,630";"0,000"
"351076";"1 745,8532";"0,004";"31,630";"0,000"
"351077";"1 745,8586";"0,004";"31,630";"0,000"
"351078";"1 745,8639";"0,004";"31,680";"0,000"
"351079";"1 745,8692";"0,004";"31,680";"0,000"
"351080";"1 745,8746";"0,004";"31,690";"0,000"
"351081";"1 745,8799";"0,004";"31,690";"0,000"
"351082";"1 745,8852";"0,004";"31,605";"0,000"
"351083";"1 745,8904";"0,002";"31,605";"0,000"
"351084";"1 745,8957";"0,002";"31,640";"0,000"
"351085";"1 745,9009";"0,002";"31,640";"0,000"
"351086";"1 745,9062";"0,002";"31,640";"0,000"
"351087";"1 745,9114";"0,002";"31,640";"0,000"
"351088";"1 745,9167";"0,002";"31,640";"0,000"
"351089";"1 745,9219";"0,002";"31,745";"0,000"
"351090";"1 745,9259";"0,002";"31,745";"0,000"
"351091";"1 745,9299";"0,002";"31,620";"0,000"
"351092";"1 745,9338";"0,000";"31,620";"0,000"
"351093";"1 745,9378";"-0,002";"31,640";"0,000"
"351094";"1 745,9431";"0,000";"31,640";"0,000"
"351095";"1 745,9485";"-0,002";"31,685";"0,000"
"351096";"1 745,9538";"-0,002";"31,685";"0,000"
"351097";"1 745,9591";"-0,002";"31,685";"0,000"
"351098";"1 745,9643";"-0,002";"31,670";"0,000"
"351099";"1 745,9695";"-0,002";"31,670";"0,000"
"351100";"1 745,9748";"-0,002";"31,670";"0,000"
"351101";"1 745,9800";"-0,002";"31,670";"0,000"
"351102";"1 745,9853";"-0,002";"31,705";"0,000"
"351103";"1 745,9905";"-0,002";"31,705";"0,000"
"351104";"1 745,9958";"-0,002";"31,625";"0,000"
"351105";"1 745,9998";"-0,002";"31,625";"0,000"
"351106";"1 746,0038";"-0,002";"31,625";"0,000"
"351107";"1 746,0078";"-0,002";"31,570";"0,000"
"351108";"1 746,0118";"-0,002";"31,570";"0,000"
"351109";"1 746,0171";"0,002";"31,705";"0,000"
"351110";"1 746,0224";"0,002";"31,705";"0,000"
"351111";"1 746,0277";"0,000";"31,645";"0,000"
"351112";"1 746,0323";"0,002";"31,645";"0,000"
"351113";"1 746,0368";"0,002";"31,720";"0,000"
"351114";"1 746,0414";"0,004";"31,720";"0,000"
"351115";"1 746,0459";"0,002";"31,680";"0,000"
"351116";"1 746,0505";"0,004";"31,680";"0,000"
"351117";"1 746,0550";"0,004";"31,680";"0,000"
"351118";"1 746,0596";"0,004";"31,665";"0,000"
"351119";"1 746,0649";"0,004";"31,665";"0,000"
"351120";"1 746,0703";"0,004";"31,665";"0,000"
"351121";"1 746,0757";"0,006";"31,665";"0,000"
"351122";"1 746,0810";"0,006";"31,615";"0,000"
"351123";"1 746,0863";"0,004";"31,615";"0,000"
"351124";"1 746,0916";"0,004";"31,645";"0,000"
"351125";"1 746,0969";"0,004";"31,645";"0,000"
"351126";"1 746,1022";"0,004";"31,645";"0,000"
"351127";"1 746,1075";"0,004";"31,735";"0,000"
"351128";"1 746,1129";"0,004";"31,735";"0,000"
"351129";"1 746,1183";"0,004";"31,655";"0,000"
"351130";"1 746,1237";"0,004";"31,655";"0,000"
"351131";"1 746,1291";"0,004";"31,615";"0,000"
"351132";"1 746,1344";"0,006";"31,615";"0,000"
"351133";"1 746,1398";"0,006";"31,660";"0,000"
"351134";"1 746,1452";"0,004";"31,660";"0,000"
"351135";"1 746,1506";"0,006";"31,660";"0,000"
"351136";"1 746,1546";"0,004";"31,595";"0,000"
"351137";"1 746,1586";"0,004";"31,595";"0,000"
"351138";"1 746,1626";"0,004";"31,640";"0,000"
"351139";"1 746,1666";"0,004";"31,640";"0,000"
"351140";"1 746,1720";"0,004";"31,650";"0,000"
"351141";"1 746,1773";"0,004";"31,650";"0,000"
"351142";"1 746,1826";"0,004";"31,700";"0,000"
"351143";"1 746,1872";"0,004";"31,700";"0,000"
"351144";"1 746,1917";"0,004";"31,650";"0,000"
"351145";"1 746,1963";"0,004";"31,650";"0,000"
"351146";"1 746,2008";"0,004";"31,650";"0,000"
"351147";"1 746,2054";"0,004";"31,595";"0,000"
"351148";"1 746,2099";"0,004";"31,595";"0,000"
"351149";"1 746,2145";"0,004";"31,650";"0,000"
"351150";"1 746,2198";"0,004";"31,650";"0,000"
"351151";"1 746,2252";"0,002";"31,645";"0,000"
"351152";"1 746,2305";"0,002";"31,645";"0,000"
"351153";"1 746,2359";"0,000";"31,685";"0,000"
"351154";"1 746,2412";"0,002";"31,685";"0,000"
"351155";"1 746,2466";"0,002";"31,685";"0,000"
"351156";"1 746,2519";"0,002";"31,720";"0,000"
